_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiyhTPTaZ0Y,,25ga Brilliant Chandelier from Katalyst Surgical,"Katalyst Brilliant Chandelier used in 25ga case.

Easy insertion of plug into provided cannula. Great widefield illumination. Great view under air. Easy removal

Video by Dr. Virgilio Morales-Canton from Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQxAtbM3Msg,,Katalyst Surgical Hassan? Forceps,An up-close depiction of the Hassan? Forceps in action peeling away the ILM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YnB_b6CVe2Y,,AWH MVP FOR PEELING OF ERM AND ILM,"Video by Dr. Magno Ferreira from Brazil

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w07B9FTMyPk,,Katalyst Hassan Forceps,"One rounded corner and one sharp corner, small, very fine platforms designed for grasping fine membranes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfChlYEDCl8,,Awh MVP? Membrane Peel,"Awh MVP? Micro Vacuum Pick video by Dr. Garcia-Arumi

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAhcu8_O74,,Awh MVP? Micro Vacuum Pick Membrane Peel,"Awh MVP? video by Professor Kamei

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj5ZxJpJVA0,,Awh MVP? Micro Vacuum Pick,"Awh MVP? video by Professor Kamei

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxlqe2l8Rws,,27ga Stiff Awh MVP?,"27ga Awh MVP? Micro Vacuum Pick with stiffening sleeve that makes the instrument as stiff as a 19ga instrument. 

Video by Dr. Carl Awh

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kp68nzXg1WI,,Awh MVP Membrane Peel,"Video by Dr. Carlos Mateo

Surgical method and device patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0owONgDTGs,,Awh MVP Micro Vacuum Pick,"Video by Dr. Carl Regillo

Surgical method and device patents pending.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgPz6b3Kl30,,Katalyst Surgical Awh MVP? Micro Vacuum Pick?,"Katalyst Surgical Awh MVP? Micro Vacuum Pick?
Remove ILM and ERM without the use of forceps

Patent(s) pending

http://www.katalystsurgical.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YL6KckLR0Q,,Remove ILM Without Forceps with the Awh MVP?,"The Katalyst Awh MVP? Micro Vacuum Pick? is designed to remove ILM and ERM without the use of forceps.

Patents pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phFCulfwAl8,,Yamane Technique with Katalyst Surgical Yamane Forceps,"Double-needle technique by Shin Yamane, M.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2pGz7PmygE,,PENTA? Korenfeld Titanium Needle Holder Scissors,"From Katalyst Surgical

Combines needle holder and scissors to eliminate the need for an instrument exchange.

Made from titanium; lightweight and will never rust or corrode. Guaranteed!

Textured needle holder platform designed for superior grasping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lWjINtxPYQU,,Katalyst Surgical Hassan ILM Forceps,"A new concept in membrane peeling, one corner is sharp and the other is rounded.",Retina,ILM peeling,Hassan,Katalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67QUJ7lsnLk,,Awh Brilliant Chandelier from Katalyst Surgical,25ga Awh Brilliant Chandelier set up video.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scwYbFJJi8o,,Maeno-Awh Super Manipulator,http://www.katalystsurgical.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iNr6EUnr8y0,,Katalyst Surgical Stiff DEX? 27ga Forceps,"55X stiffer than traditional 27ga. Video is shown with an End Grasping tip. 

Patent numbers 9,138,346 and 9,757,274

http://www.katalystsurgical.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DnnTM3JfFkM,,Morris ILM Forceps by Katalyst,www.katalystsurgical.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcYgNj1bJwA,,Morris Honey Badger Forceps by Katalyst Surgical,"Honey badger don't care

www.katalystsurgical.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hZ0kai05L3o,,Katalyst Morris "Honey Badger" Forceps,"Katalyst Surgical Morris Parafovea ""Honey Badger"" Forceps.

http://www.katalystsurgical.com/instruments-posterior/ophthalmic/dex-morris-forceps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELsse8KTjmQ,,"Katalyst? Surgical T-Tube?, Entering a Valved Cannula","Visit www.katalystsurgical.com for more information!

Patent Pending",ophtholmology,eye surgery,valved cannula,retina surgery,retina,cannula,cannula entra,silicone tipped,silicone tip,trocar,trocar cannula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTLuKCJX8k8,,Katalyst? Morris Forceps,"Katalyst? Surgical DEX?? Horizontal Scissors and DEX? Morris Parafoveal ILM Forceps

Patent Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hxh1U5nhBEU,,"DEX? Maculorhexis Forceps, 25ga, DVF-4019-25",,Forceps,Ophthalmology (Medical Specialty),Eye Surgery (Medical Treatment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Gs-p-R9K7E,,"iQ? MICS Capsulorhexis Forceps, Cystotome Teeth, Sharp Gold Tips?","Katalyst Surgical's Innovative iQ? MICS Capsulorhexis Forceps, Cystotome Teeth, Sharp Gold Tips?

23ga curved shaft forceps with flush through lumen allows for thorough cleaning and reduces the risk of TASS. Sharp teeth with Gold Tips? reduce tissue sticking. Available with blunt or sharp tips.

Item Number:  30C23-iQG

http://www.katalystsurgical.com/instruments/ophthalmic/iq-mics-capsulorhexis-forceps-cystotome-teeth",Capsulorhexis,Forceps,Ophthalmic forceps,MICS FORCEPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22e5yNrcas,,Korenfeld Suture Cutting Tying Forceps - KatalystSurgical.com,"Katalyst Surgical's innovative Korenfeld Suture Cutting Tying Forceps.  

Standard tips, 85mm length, available with a straight shaft or 45 degree angled 12mm shaft. 

http://www.katalystsurgical.com/instruments/ophthalmic/korenfeld-suture-cutting-tying-forceps-45mm-tying-platforms",ophthalmic forceps,suture cutting tying forceps,ophthalmic tying forceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SgyKX7wtztU,,Korenfeld Fixation Forceps - KatalystSurgical.com,"Katalyst Surgical's innovative Korenfeld Globe Fixation Forceps Featuring Fixation Grooves.

Available in 2 teeth sizes, .12mm & .30mm.

1 x 2 teeth, .12mm teeth with tying platforms, 75mm length

or

1 x 2 teeth, .30mm teeth with tying platforms, 75mm length 

http://www.katalystsurgical.com/instruments/ophthalmic/korenfeld-globe-fixation-forceps",Korenfeld,Fixation,Forceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eDxATlaOmk,,Chiral Capsulorhexis Forceps - KatalystSurgical.com,"Left and Right handed design options offer easier access to all clock hours.

Left-handed, 9mm angled curved shaft, 105mm length

or

Right-handed, 9mm angled curved shaft,105mm length

http://www.katalystsurgical.com/instruments/ophthalmic/chiral-capsulorhexis-forceps-cystotome-teeth",Capsulorhexis Forceps,ophthalmic forceps,eye surgical forceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmn0HeBC3CQ,,Subtenons Infusion System - KatalystSurgical.com,"Low-profile vaulted blades and blunt tips for safe dissection that follows the curve of the globe. 

Create tunnel track using blunt vertical dissection. 

Designed to be used with the Korenfeld Sub-Tenon's Infusion Cannula 

Featured In:  Ocular Surgery News October 25, 2011 edition, Surgical Maneuvers Editorial, page 5


Visit Katalyst Surgical for more information on this product

http://www.katalystsurgical.com/instruments/ophthalmic/korenfeld-sub-tenon-injections-scissors",Sub Tenons Infusion System,ophthalmic sub tenons,ophthalmic instruments,eye surgical infusion system,eye surgical subtenons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cLbogFFdUr4,,Giannetti Capsulorhexis Forceps - KatalystSurgical.com,"Riccardo Giannetti, MD, of Italy, designed the Giannetti MICS capsulorrhexis forceps for usethrough a 1.5-mm incision. It features thinshanks that are less than 1 mm wide in the closed position and are limited to a maximum spread of 2 mm. The extremely small delicate tips may be used to make the initial tear as well as to grasp the capsule while performing capsulorrhexis. The shanks are angled and vaulted to provide better access to the capsule without stretching the incision, and the 8.5-mm diameter handle is ergonomically designed for better control. These forceps work equally well when performing an anterior or posterior capsulorrhexis, according to Dr. Giannetti.

View Our Wide Variety of Capsulorhexis Forceps at Katalyst Surgical

http://www.katalystsurgical.com/instruments/forceps/capsulorhexis-forceps",Giannetti Forceps,Capsulorhexis Forceps,ophthalmic forceps,eye surgical forceps,capsulorhexis forceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GnIk4h86TMc,,Modificaci¨®n de la T¨¦cnica del Dr. Yamane,Fijaci¨®n de lente en esclera sin sutura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XhLM5N9avSo,,deep socket case - ogawa speculum - DR PL,"Surgeon describe a phase in deep socket , showing importance of proper instrumentation in difficult scenarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,102 CTR INJECTOR - DR PL,"Capsular tension ring insertion is cumbersome bimanually with forceps. here we are showing a simple, easy to make  yet powerful injector system for CTR. 
contact : shreenetralaya.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myLcCi-w7Dw,,100 Ophthalmic educational videos-DR PL,Thank you ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T8E6blbZWbI,,#94 HOW TO PREVENT EXPULSIVE HEAMORRHAGE- IN OPEN GLOBE SURGERIES- DR PL,www.shreenetralaya.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bDXBb969Aw,,"#89 Pterygium, how to get perfect outcome-DR PL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Ga30PIadhI,,#87 Interesting retro illumination - DR PL,video is meant for eye surgeons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPYxVXR9q54,,"#85 New concept in managing Pseudophakic Bullous Keratopathy,   - DR PL","Video describes a new concept in managing case of PBK. We have tried this technique in 3 eyes till date, worked well. 
Video is presented in Vidarbha Ophthalimc Conference, Ophthalmic premier league session and also in Karnataka Ophthalmic conference 2021, in ophthalmic premier league competition on 12 Dec 2021.

This technique need a proper study to prove its efficacy,  safety.. plz do not try  in seeing eyes. It is under a study. 

Not meant for children/ Viewers discretion needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jWf2KJc4xT0,,#83 Descematopexy  DR PL,visit www.shreenetralaya.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYn6g4sa77k,,Live Insect /Parasite (Loa Loa)  in Eye - DR PL,"Video shows a nematode Loa Loa in anterior segment in Eye.
Viewers discretion needed",live insect in eye insect eye dr pankaj lande Amravati,shree netralaya,best Dr loa loa helminth in eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sBFhFX3_bGU,,KERATOPIGMENTATION; NEXT LEVEL INDICATIONS-DR PL,"Surgeon has explained in detail extended indications for keratopigmentation / corneal tattoo. Hope this video will help many patient. any query please e mail to pankajlande@gmail.com/ call +91 77700 60011.
Video is meant for eye (ophthalmic) surgeons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PG_PihW1ME,,Video presented at Vidarbha Ophthalmic Society Conference - VOPL 2019,"VOPL(VIDARBHA OPHTHALMIC PREMIERE LEAGUE) is a ophthalmic video competition. This video was presented in VOS 2019 and bags prize as ""BEST SCIENTIFIC VIDEO"". 
Hope u enjoy it & many drs will help their patients with these surgical procedures.
contact: 77700 60011 
email : pankajlande@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sHdvLXvmmCI,,5.  Maskology - All you need to know about masks -   DR PL,"Video discuss about mask ,  how to use , its sterilization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exW4PY7xBdo,,"How to Apply Drops-Demo/???????? ??????? ????? ??? ??????- ?? ???? ?????, ???????: PATIENT EDUCATION","video demonstrates a proper method for eye drop instillation. Video is meant for general public. The steps are for most of the eye drops, if any different step is told by your Prescribing Physician/Dr..please follow your physician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_k8T_PPQ8c,,"Superficial Corneal FB removal , Dr PL APPROACH","Surgeon described method for superficial/ stromal corneal foreign body removal in a safe way. video specially meant for post graduates and practising eye specialist, optometrist.

A good and safe technique even in learners hands. best wishes",corneal foreign body,how to remove,DR PL,shree netralay,dr pankaj lande,amravati,maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zyw0mjoAfJw,,"Omniglow Vs Microscope light, Comparison - DR PL","Dr Pankaj compared a microscope light V/S microscope +Omniglow co axial illumination system. Omniglow is a extra attachment to microscope. It is innovation of Dr Jaideep Kakadia, Bhavnagar India.
This Small device has a power to convert your basic microscope into advanced microscope. I have shared all important points came to my notice. 
do Connect at pankajlande@gmail.com if needed.
www.shreenetralaya.com",shree netralaya,amravati,best,eye hospital,eye surgeon,eye doctor,vidarbha,omniglow,dr kakadia,co axial microspe light source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc6i3w0BKgo,,corneal scar dissection with tatoo -DR PL,"surgeon explains a very useful technique of corneal t
keratopigmentation to correct facial disfigurement.
this unique technique is boon for cases with old, long standing cases of corneal scar / no vision potential  PBK cases ( in case transplants not possible) , especially where there is no hope of vision. These cases we can treat  with tatoo to have good cosmesis so as to have life with confidence in society.

Any query email to pankajlande@gmail.com",dr pankaj lande,shree netralaya,best ey,hospital,eye surgeon,best,cornea transplant,corneal tatoo,facial disfigurement,amravati,maharashatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QBOZ7kmMcO4,,corneal tatooing/ Keratopigmentation DR PL,"Surgeon showing a procedure for corneal tatooing in an eye with no hope for vision. 
The most important about this case is her grandson is not scared of her anymore.  with this  motto she came to us and happy that we could fulfill it 100%. 
Any query ( from patients/ Drs)  please email to  pankajlande@gmail.com. We will be happy to connect to you.",shree netralaya,dr pankaj lande,cornea,tatoo,corneal tatooing,cornea l opacity,best eye suurgeon,best,eye care,amravati,maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n2AsYr_Sjdk,,Tenons GLue BCL  DR PL1,Surgeon explained in details the procedure for saving perforated cornea,dr pankaj lande,shree netralaya,managing perorated cornea,glue,BCL,tenons glue bcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I8LZnH8CjqM,,My Video1,"video describe a short procedure  for intra vitreal injection, here it is Anti VEGF agent, Accentrix. Needle used is 30G.",dr pankaj lande,shree netralaya,Intra vitreal injection,Anti VEGF inj,Avastion,Accentrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9fFPmhih-E,,Agujero macular con brilliant blue y pelaje de membrana limitante interna,"tincion de membrana limitante interna con brilliant blue , bajo liquido , mezclado con suero glucosado, y luego pelaje de membrana limitante interna con pinza de geishaber de 23  con vt de 23 gauge.",agujero macular,brilliant blue,vitrectomia de de 23 gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp0w6JYlx9o,,ROP-Check Treatment,Infants with threshold retinopathy of prematurity (ROP) benefit from timely laser or cryo treatment of the peripheral retina.  www.ROP-Check.com,ROP,NICU,EMR,laser,blindness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zjTN2J4z1rU,,Retinopat¨ªa del prematuro - Dra. Nieves Mart¨ªn Begu¨¦,Curso audiovisual sobre la vasculog¨¦nesis de la retina,Click,to,add,keywords...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zMY1B5Md0Jo,,Retinopat¨ªa del prematuro,"Suscr¨ªbete gratis: http://www.actualizacionmedica.com
Puedes obtener Horas Cr¨¦dito de Educaci¨®n M¨¦dica Continua (EMC)

¨²nete a la Red de Actualizaci¨®n Medica y obt¨¦n muchos beneficios: Actual¨ªzate, Inf¨®rmate, e interrelaciona con tus colegas.

Conferencista: Dra. Ana Raquel Hern¨¢ndez
Fecha: 30/11/1012
Lugar: Ciudad de Guatemala
Evento: 54 Congreso Nacional de Medicina",actualizacion,medica,medicos,asociacion,generales,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z7Le-I89oz0,,Siepser Sliding Knot by Gulden Ophthalmics,"The Siepser Slip Suture kit contains everything needed to learn the technique. The kit includes a 2 inch practice eye, practice suture, practice suture material and CD containing a full instruction video of the suture procedure.

http://guldenophthalmics.com/",Gulden Ophthalmics,practice Slip Suture kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn4-N-E2HyY,,Traumatic Iris coloboma repair Siepser slip-kno10/0 Prolene,"Traumatic Iris coloboma repair using 10/0 Prolene on CIF-4 Needle using the Siepser slip-knot technique, but its through the other wound. The location of the coloboma in the lower nasal quadrant, makes it more difficult to do it at the original location, so I did Siepser slip-knot but through an upper temporal wound, where it was easier for me.",Traumatic,Iris,coloboma,repair,using,10/0,ProleneCIF-4,Needle,Siepser,slip-knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCovkaZqfsc,,Bowman Layer Transplantation,Dr. Jack Parker explores a new surgical option for patients with advanced Keratoconus.,Dr. Jack Parker,Keratoconus,Ophthalmology,UAB Medicine,UAB,eye care,surgery,eye surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgGs42IHwk4,,OCULUS SDI?/BIOM? - The ultimate system in non contact wide angle observation,"The ultimate system in non contact wide angle observation

http://www.oculus.de/",oculus,sdi,biom,wide,angle,howto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNu2I0tOh9I,,OCULUS SDI? 4/BIOM? 4,http://www.oculus.de/,oculus,sdi,biom4,wetzlar,optikger?te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y8pFi3cb3Mw,,"Artisan Aphakia, retropupillary fixation","Dr Klio Becker, Germany, shares her experience with the retropupillary implantation of the Artisan Apahkia IOL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnKCAxyGZ7k,,couscous marroqu¨ª mas r¨¢pido imposible,"COUSCOUS A LA MANERA TRADICIONAL, PERO R¨¢PIDAMENTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwY2T0HvsSI,,Central Serous Chorioretinopathy Part 1,"This is the first of three lecturettes on the topic of central serous chorioretinopathy (CSC).  The intended audience includes ophthalmology residents or anyone who would like to brush up on CSC.  This lecture is not primarily based on the AAO's BCSC series, but rather it draws primarily from the ophthalmic peer-reviewed literature on CSC.  As such, it is more clinically-oriented than it is towards mnemonic or test-taking pearls.  It may also be useful to the layperson.  Please let me know if you see any errors that I should address.  As always, enjoy!",Central Serous Retinopathy (Disease Or Medical Condition),Health (Industry),Ophthalmology (Medical Specialty),Retina,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yg3sia1Y8AA,,Lente imbricada a esclera seg¨²n t¨¦cnica de Agarwal,,Lente,imbricada,esclera,seg¨²n,t¨¦cnica,de,Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oe31d1Kd_jA,,T¨¦cnica Modificada de Yamane. Dr. Gerardo Valvecchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7LmLNHi5BU,,EPIRETINAL MEMBRANE,This video is about an Epiretinal Membrane Peel.,iMovie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akcMm_3J2_c,,Visual Axis Opacification Management in paediatric Patient s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fXrXUkL6X50,,"After a few thousand surgeries , a case like this is easily done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aJdENsSQdg8,,Dr.Magan¡¯s Modified Yamane Technique for SFIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hnNCjy1oTWI,,Enhancing capsular support in a case of Zonular Dialysis using capsular Hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2SuCfIq2C00,,How to avoid Argentinian flag sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9OImTP13laY,,Follow my modified yamane technique to avoid damaging haptics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i8tssMQ3nTY,,Rock the Nucleus with Needle Aspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OYyhJ_YlgUs,,PXL small pupil STOP & WEDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2C6a4AMJFw,,Hydrodissection and Hydrodelineation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0V4TBHgRfY,,Three techniques of nucleus division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3LN910tb8BM,,Capsulorrhexis under the anterior chamber maintainer without using viscoelasics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_pI7bpRIaeA,,Squint surgery for alternate convergent squint MR recession,"A boy of 8 years old having alternate divergent squint of 15 degree , VA both eye 6/6 RE dominant we operated LE under LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aKn7MOT0n70,,27-Apr-23,"A case of post-op refractive surprise-4.5D operated after one month, open the same wound and take a suture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-ygKzHHnbU,,Modified Yamanis  Technique for SFIOL by Dr. Magan-Bhuj,"This video made for educational purposes , technique is very useful for all the ahakic patients with good vision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eVIZ-rFTZ2Q,,Suturless Flapless SFIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w_8cGtAL_6k,,Patel Eye Care & laser Centre Live Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBBrgLit2pk,,Ipcl in high myopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sWHNWIB9MYY,,IPCL SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XrKLLHqHB5I,,Slit lamp removal of corneal pannus by Steven G. Safran MD,This is temporal and nasal avascular pannus associated with Demodex blepharitis being removed from the cornea at the slit lamp.   The patient was treated medically for the blepharitis prior to removal of these lesions.  No recurrence was seen and 7.5 diotpers of cornea astigmatism on topography was reduced to less than 1 diopter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z9niBTEJMAY,,Whoah....nice save there Steve!  by Steven G. Safran MD,This is a case that demonstrates why the lasso procedure may not be successful if the capsular bag is very thin and diaphanous.   The suture can cheesewire through the thin capsule and slide off the haptic.  In this case we did have a BIOM system ready but nice not to have to use it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
